,Begin,Council,CouncilAbbreviation,CouncilName,Date,ID,IdSession,Language,LegislativePeriodNumber,MeetingNumber,MeetingOrderText,Modified,PublicationStatus,SessionName,SessionNumber,SortOrder
0,1430,1,CN,Conseil national,1999-12-06T00:00:00,1,4601,FR,46,1,Première séance,2015-11-09T11:48:16.897,final,Session d'hiver 1999,1,1
1,0800,1,CN,Conseil national,1999-12-07T00:00:00,2,4601,FR,46,2,Deuxième séance,2015-11-09T11:48:17.483,final,Session d'hiver 1999,1,2
2,0800,1,CN,Conseil national,1999-12-08T00:00:00,3,4601,FR,46,3,Troisième séance,2015-11-09T11:48:17.893,final,Session d'hiver 1999,1,3
3,0800,1,CN,Conseil national,1999-12-09T00:00:00,4,4601,FR,46,4,Quatrième séance,2015-11-09T11:48:18.26,final,Session d'hiver 1999,1,4
4,1430,1,CN,Conseil national,1999-12-13T00:00:00,5,4601,FR,46,5,Cinquième séance,2015-11-09T11:48:18.803,final,Session d'hiver 1999,1,5
5,0800,1,CN,Conseil national,1999-12-14T00:00:00,6,4601,FR,46,6,Sixième séance,2015-11-09T11:48:19.37,final,Session d'hiver 1999,1,6
6,0800,1,CN,Conseil national,1999-12-16T00:00:00,7,4601,FR,46,7,Septième séance,2015-11-09T11:48:19.86,final,Session d'hiver 1999,1,7
7,1430,1,CN,Conseil national,1999-12-20T00:00:00,8,4601,FR,46,8,Huitième séance,2015-11-09T11:48:20.477,final,Session d'hiver 1999,1,8
8,0900,1,CN,Conseil national,1999-12-21T00:00:00,9,4601,FR,46,9,Neuvième séance,2015-11-09T11:48:20.92,final,Session d'hiver 1999,1,9
9,1500,1,CN,Conseil national,1999-12-21T00:00:00,10,4601,FR,46,10,Dixième séance,2015-11-09T11:48:21.24,final,Session d'hiver 1999,1,10
10,0800,1,CN,Conseil national,1999-12-22T00:00:00,11,4601,FR,46,11,Onzième séance,2015-11-09T11:48:21.773,final,Session d'hiver 1999,1,11
11,1815,2,CE,Conseil des Etats,1999-12-06T00:00:00,12,4601,FR,46,1,Première séance,2015-11-09T11:48:22.093,final,Session d'hiver 1999,1,1
12,0800,2,CE,Conseil des Etats,1999-12-07T00:00:00,13,4601,FR,46,2,Deuxième séance,2015-11-09T11:48:22.27,final,Session d'hiver 1999,1,2
13,0800,2,CE,Conseil des Etats,1999-12-08T00:00:00,14,4601,FR,46,3,Troisième séance,2015-11-09T11:48:22.573,final,Session d'hiver 1999,1,3
14,0800,2,CE,Conseil des Etats,1999-12-09T00:00:00,15,4601,FR,46,4,Quatrième séance,2015-11-09T11:48:22.82,final,Session d'hiver 1999,1,4
15,1715,2,CE,Conseil des Etats,1999-12-13T00:00:00,16,4601,FR,46,5,Cinquième séance,2015-11-09T11:48:23.11,final,Session d'hiver 1999,1,5
16,0800,2,CE,Conseil des Etats,1999-12-14T00:00:00,17,4601,FR,46,6,Sixième séance,2015-11-09T11:48:23.597,final,Session d'hiver 1999,1,6
17,0800,2,CE,Conseil des Etats,1999-12-16T00:00:00,18,4601,FR,46,7,Septième séance,2015-11-09T11:48:23.953,final,Session d'hiver 1999,1,7
18,1715,2,CE,Conseil des Etats,1999-12-20T00:00:00,19,4601,FR,46,8,Huitième séance,2015-11-09T11:48:24.187,final,Session d'hiver 1999,1,8
19,0900,2,CE,Conseil des Etats,1999-12-21T00:00:00,20,4601,FR,46,9,Neuvième séance,2015-11-09T11:48:24.443,final,Session d'hiver 1999,1,9
20,0800,2,CE,Conseil des Etats,1999-12-22T00:00:00,21,4601,FR,46,10,Dixième séance,2015-11-09T11:48:24.617,final,Session d'hiver 1999,1,10
21,0800,3,V,Assemblée fédérale (Chambres réunies),1999-12-15T00:00:00,22,4601,FR,46,1,Première séance,2015-11-09T11:48:24.767,final,Session d'hiver 1999,1,1
22,0800,3,V,Assemblée fédérale (Chambres réunies),1999-12-21T00:00:00,23,4601,FR,46,2,Deuxième séance,2015-11-09T11:48:24.877,final,Session d'hiver 1999,1,2
23,1430,1,CN,Conseil national,2000-03-06T00:00:00,24,4602,FR,46,1,Première séance,2015-11-09T11:48:25.193,final,Session du printemps 2000,2,1
24,0800,1,CN,Conseil national,2000-03-07T00:00:00,25,4602,FR,46,2,Deuxième séance,2015-11-09T11:48:25.743,final,Session du printemps 2000,2,2
25,0835,1,CN,Conseil national,2000-03-08T00:00:00,26,4602,FR,46,3,Troisième séance,2015-11-09T11:48:26.087,final,Session du printemps 2000,2,3
26,1500,1,CN,Conseil national,2000-03-08T00:00:00,27,4602,FR,46,4,Quatrième séance,2015-11-09T11:48:26.427,final,Session du printemps 2000,2,4
27,0800,1,CN,Conseil national,2000-03-09T00:00:00,28,4602,FR,46,5,Cinquième séance,2015-11-09T11:48:26.76,final,Session du printemps 2000,2,5
28,1430,1,CN,Conseil national,2000-03-13T00:00:00,29,4602,FR,46,6,Sixième séance,2015-11-09T11:48:27.32,final,Session du printemps 2000,2,6
29,0800,1,CN,Conseil national,2000-03-14T00:00:00,30,4602,FR,46,7,Septième séance,2015-11-09T11:48:27.83,final,Session du printemps 2000,2,7
30,0800,1,CN,Conseil national,2000-03-15T00:00:00,31,4602,FR,46,8,Huitième séance,2015-11-09T11:48:28.24,final,Session du printemps 2000,2,8
31,1500,1,CN,Conseil national,2000-03-15T00:00:00,32,4602,FR,46,9,Neuvième séance,2015-11-09T11:48:28.627,final,Session du printemps 2000,2,9
32,0800,1,CN,Conseil national,2000-03-16T00:00:00,33,4602,FR,46,10,Dixième séance,2015-11-09T11:48:28.993,final,Session du printemps 2000,2,10
33,1430,1,CN,Conseil national,2000-03-20T00:00:00,34,4602,FR,46,11,Onzième séance,2015-11-09T11:48:29.91,final,Session du printemps 2000,2,11
34,0800,1,CN,Conseil national,2000-03-21T00:00:00,35,4602,FR,46,12,Douzième séance,2015-11-09T11:48:30.46,final,Session du printemps 2000,2,12
35,0800,1,CN,Conseil national,2000-03-22T00:00:00,36,4602,FR,46,13,Treizième séance,2015-11-09T11:48:30.87,final,Session du printemps 2000,2,13
36,0800,1,CN,Conseil national,2000-03-23T00:00:00,37,4602,FR,46,14,Quatorzième séance,2015-11-09T11:48:31.27,final,Session du printemps 2000,2,14
37,0800,1,CN,Conseil national,2000-03-24T00:00:00,38,4602,FR,46,15,Quinzième séance,2015-11-09T11:48:31.903,final,Session du printemps 2000,2,15
38,1815,2,CE,Conseil des Etats,2000-03-06T00:00:00,39,4602,FR,46,1,Première séance,2015-11-09T11:48:32.363,final,Session du printemps 2000,2,1
39,0800,2,CE,Conseil des Etats,2000-03-07T00:00:00,40,4602,FR,46,2,Deuxième séance,2015-11-09T11:48:32.587,final,Session du printemps 2000,2,2
40,0840,2,CE,Conseil des Etats,2000-03-08T00:00:00,41,4602,FR,46,3,Troisième séance,2015-11-09T11:48:32.973,final,Session du printemps 2000,2,3
41,0800,2,CE,Conseil des Etats,2000-03-09T00:00:00,42,4602,FR,46,4,Quatrième séance,2015-11-09T11:48:33.337,final,Session du printemps 2000,2,4
42,1715,2,CE,Conseil des Etats,2000-03-14T00:00:00,43,4602,FR,46,5,Cinquième séance,2015-11-09T11:48:33.56,final,Session du printemps 2000,2,5
43,0800,2,CE,Conseil des Etats,2000-03-15T00:00:00,44,4602,FR,46,6,Sixième séance,2015-11-09T11:48:33.853,final,Session du printemps 2000,2,6
44,0800,2,CE,Conseil des Etats,2000-03-16T00:00:00,45,4602,FR,46,7,Septième séance,2015-11-09T11:48:34.073,final,Session du printemps 2000,2,7
45,1715,2,CE,Conseil des Etats,2000-03-20T00:00:00,46,4602,FR,46,8,Huitième séance,2015-11-09T11:48:34.237,final,Session du printemps 2000,2,8
46,0800,2,CE,Conseil des Etats,2000-03-21T00:00:00,47,4602,FR,46,9,Neuvième séance,2015-11-09T11:48:34.533,final,Session du printemps 2000,2,9
47,0800,2,CE,Conseil des Etats,2000-03-22T00:00:00,48,4602,FR,46,10,Dixième séance,2015-11-09T11:48:34.983,final,Session du printemps 2000,2,10
48,0800,2,CE,Conseil des Etats,2000-03-23T00:00:00,49,4602,FR,46,11,Onzième séance,2015-11-09T11:48:35.527,final,Session du printemps 2000,2,11
49,0800,2,CE,Conseil des Etats,2000-03-24T00:00:00,50,4602,FR,46,12,Douzième séance,2015-11-09T11:48:35.79,final,Session du printemps 2000,2,12
50,0800,3,V,Assemblée fédérale (Chambres réunies),2000-03-08T00:00:00,51,4602,FR,46,3,Troisième séance,2015-11-09T11:48:35.887,final,Session du printemps 2000,2,3
51,1430,1,CN,Conseil national,2000-06-05T00:00:00,52,4603,FR,46,1,Première séance,2015-11-09T11:48:36.24,final,Session d'été 2000,3,1
52,0800,1,CN,Conseil national,2000-06-06T00:00:00,53,4603,FR,46,2,Deuxième séance,2015-11-09T11:48:36.767,final,Session d'été 2000,3,2
53,0800,1,CN,Conseil national,2000-06-07T00:00:00,54,4603,FR,46,3,Troisième séance,2015-11-09T11:48:37.02,final,Session d'été 2000,3,3
54,1500,1,CN,Conseil national,2000-06-07T00:00:00,55,4603,FR,46,4,Quatrième séance,2015-11-09T11:48:37.303,final,Session d'été 2000,3,4
55,0800,1,CN,Conseil national,2000-06-08T00:00:00,56,4603,FR,46,5,Cinquième séance,2015-11-09T11:48:37.59,final,Session d'été 2000,3,5
56,1430,1,CN,Conseil national,2000-06-13T00:00:00,57,4603,FR,46,6,Sixième séance,2015-11-09T11:48:38.083,final,Session d'été 2000,3,6
57,0800,1,CN,Conseil national,2000-06-14T00:00:00,58,4603,FR,46,7,Septième séance,2015-11-09T11:48:38.547,final,Session d'été 2000,3,7
58,0800,1,CN,Conseil national,2000-06-15T00:00:00,59,4603,FR,46,8,Huitième séance,2015-11-09T11:48:38.91,final,Session d'été 2000,3,8
59,0800,1,CN,Conseil national,2000-06-16T00:00:00,60,4603,FR,46,9,Neuvième séance,2015-11-09T11:48:39.13,final,Session d'été 2000,3,9
60,1430,1,CN,Conseil national,2000-06-19T00:00:00,61,4603,FR,46,10,Dixième séance,2015-11-09T11:48:39.47,final,Session d'été 2000,3,10
61,0800,1,CN,Conseil national,2000-06-20T00:00:00,62,4603,FR,46,11,Onzième séance,2015-11-09T11:48:39.883,final,Session d'été 2000,3,11
62,0855,1,CN,Conseil national,2000-06-21T00:00:00,63,4603,FR,46,12,Douzième séance,2015-11-09T11:48:40.167,final,Session d'été 2000,3,12
63,0800,1,CN,Conseil national,2000-06-22T00:00:00,64,4603,FR,46,13,Treizième séance,2015-11-09T11:48:40.573,final,Session d'été 2000,3,13
64,0800,1,CN,Conseil national,2000-06-23T00:00:00,65,4603,FR,46,14,Quatorzième séance,2015-11-09T11:48:41.337,final,Session d'été 2000,3,14
65,1815,2,CE,Conseil des Etats,2000-06-05T00:00:00,66,4603,FR,46,1,Première séance,2015-11-09T11:48:41.813,final,Session d'été 2000,3,1
66,0800,2,CE,Conseil des Etats,2000-06-06T00:00:00,67,4603,FR,46,2,Deuxième séance,2015-11-09T11:48:42.153,final,Session d'été 2000,3,2
67,0800,2,CE,Conseil des Etats,2000-06-07T00:00:00,68,4603,FR,46,3,Troisième séance,2015-11-09T11:48:42.55,final,Session d'été 2000,3,3
68,0800,2,CE,Conseil des Etats,2000-06-08T00:00:00,69,4603,FR,46,4,Quatrième séance,2015-11-09T11:48:42.8,final,Session d'été 2000,3,4
69,1715,2,CE,Conseil des Etats,2000-06-13T00:00:00,70,4603,FR,46,5,Cinquième séance,2015-11-09T11:48:42.927,final,Session d'été 2000,3,5
70,0800,2,CE,Conseil des Etats,2000-06-14T00:00:00,71,4603,FR,46,6,Sixième séance,2015-11-09T11:48:43.197,final,Session d'été 2000,3,6
71,0800,2,CE,Conseil des Etats,2000-06-15T00:00:00,72,4603,FR,46,7,Septième séance,2015-11-09T11:48:43.417,final,Session d'été 2000,3,7
72,0800,2,CE,Conseil des Etats,2000-06-16T00:00:00,73,4603,FR,46,8,Huitième séance,2015-11-09T11:48:43.59,final,Session d'été 2000,3,8
73,1715,2,CE,Conseil des Etats,2000-06-19T00:00:00,74,4603,FR,46,9,Neuvième séance,2015-11-09T11:48:43.833,final,Session d'été 2000,3,9
74,0800,2,CE,Conseil des Etats,2000-06-20T00:00:00,75,4603,FR,46,10,Dixième séance,2015-11-09T11:48:44.103,final,Session d'été 2000,3,10
75,0900,2,CE,Conseil des Etats,2000-06-21T00:00:00,76,4603,FR,46,11,Onzième séance,2015-11-09T11:48:44.36,final,Session d'été 2000,3,11
76,0800,2,CE,Conseil des Etats,2000-06-22T00:00:00,77,4603,FR,46,12,Douzième séance,2015-11-09T11:48:44.683,final,Session d'été 2000,3,12
77,0800,2,CE,Conseil des Etats,2000-06-23T00:00:00,78,4603,FR,46,13,Treizième séance,2015-11-09T11:48:45.27,final,Session d'été 2000,3,13
