,Abbreviation,EndDate,ID,Language,LegislativePeriodNumber,Modified,SessionName,SessionNumber,StartDate,Title,Type,TypeName
0,WS09,2009-12-11T00:00:00,4812,FR,48,2011-03-18T17:02:07.567,Session d'hiver 2009,12,2009-11-23T00:00:00,IV/2009,2,Sessions ordinaires  (durée 3 semaines)
1,JA92,1992-01-31T00:00:00,4402,FR,44,2013-07-25T09:14:14.933,Session spéciale janvier 1992,2,1992-01-27T00:00:00,,3,Session spéciale (durée 1 semaine)
2,JA91,1991-01-24T00:00:00,4316,FR,43,2013-07-25T09:14:14.933,Session spéciale janvier 1991,16,1991-01-21T00:00:00,,3,Session spéciale (durée 1 semaine)
3,MAI91,1991-05-03T00:00:00,4318,FR,43,2011-03-18T17:02:07.57,"Session du 700e, mai 1991",18,1991-05-02T00:00:00,,,
4,HE98,1998-10-09T00:00:00,4515,FR,45,2013-07-25T08:44:40.767,Session d'automne 1998,15,1998-09-21T00:00:00,,2,Sessions ordinaires  (durée 3 semaines)
5,SS97,1997-06-20T00:00:00,4508,FR,45,2013-07-25T08:46:10.44,Session d'été 1997,8,1997-06-02T00:00:00,,2,Sessions ordinaires  (durée 3 semaines)
6,HE95,1995-10-06T00:00:00,4420,FR,44,2013-07-25T08:46:55.277,Session d'automne 1995,20,1995-09-18T00:00:00,,2,Sessions ordinaires  (durée 3 semaines)
7,HE99,1999-10-08T00:00:00,4521,FR,45,2013-07-25T08:43:19.327,Session d'automne 1999,21,1999-09-20T00:00:00,,2,Sessions ordinaires  (durée 3 semaines)
8,WS02,2002-12-13T00:00:00,4616,FR,46,2011-03-18T17:02:07.58,Session d'hiver 2002,16,2002-11-25T00:00:00,IV/2002,2,Sessions ordinaires  (durée 3 semaines)
9,Sonder,2009-08-11T00:00:00,4810,FR,48,2011-03-18T17:02:07.58,Session spéciale août 2009,10,2009-08-10T00:00:00,III/2009,3,Session spéciale (durée 1 semaine)
10,FS06,2006-03-24T00:00:00,4711,FR,47,2011-03-18T17:02:07.583,Session de printemps 2006,11,2006-03-06T00:00:00,I/2006,2,Sessions ordinaires  (durée 3 semaines)
11,WI94,1994-12-16T00:00:00,4416,FR,44,2013-07-25T08:48:19.967,Session d'hiver 1994,16,1994-11-28T00:00:00,,2,Sessions ordinaires  (durée 3 semaines)
12,aonov,2001-11-17T00:00:00,4610,FR,46,2011-03-18T17:02:07.587,Session extraordinaire novembre 2001,10,2001-11-16T00:00:00,,,
13,HS08,2008-10-03T00:00:00,4805,FR,48,2011-03-18T17:02:07.59,Session d'automne 2008,5,2008-09-15T00:00:00,III/2008,2,Sessions ordinaires  (durée 3 semaines)
14,HS09,2009-09-25T00:00:00,4811,FR,48,2011-03-18T17:02:07.59,Session d'automne 2009,11,2009-09-07T00:00:00,III/2009,2,Sessions ordinaires  (durée 3 semaines)
15,April08,2008-04-28T00:00:00,4803,FR,48,2011-03-18T17:02:07.593,Session spéciale avril 2008,3,2008-04-28T00:00:00,II/2008,3,Session spéciale (durée 1 semaine)
16,FS09,2009-03-20T00:00:00,4807,FR,48,2011-03-18T17:02:07.593,Session de printemps 2009,7,2009-03-02T00:00:00,I/2009,2,Sessions ordinaires  (durée 3 semaines)
17,FR92,1992-03-20T00:00:00,4403,FR,44,2013-07-25T08:53:03.11,Session de printemps 1992,3,1992-03-02T00:00:00,,2,Sessions ordinaires  (durée 3 semaines)
18,WS06,2006-12-20T00:00:00,4715,FR,47,2011-03-18T17:02:07.6,Session d'hiver 2006,15,2006-12-04T00:00:00,IV/2006,2,Sessions ordinaires  (durée 3 semaines)
19,HS00,2000-10-06T00:00:00,4604,FR,46,2013-07-25T08:42:38.817,Session d'automne 2000,4,2000-09-18T00:00:00,,2,Sessions ordinaires  (durée 3 semaines)
20,SoSe10,2010-06-18T00:00:00,4814,FR,48,2011-03-18T17:02:07.613,Session d'été 2010,14,2010-05-31T00:00:00,II/2010,2,Sessions ordinaires  (durée 3 semaines)
21,SO94,1994-06-17T00:00:00,4414,FR,44,2013-07-25T08:48:42.633,Session d'été 1994,14,1994-05-30T00:00:00,,2,Sessions ordinaires  (durée 3 semaines)
22,SoSe09,2009-06-12T00:00:00,4809,FR,48,2011-03-18T17:02:07.617,Session d'été 2009,9,2009-05-25T00:00:00,II/2009,2,Sessions ordinaires  (durée 3 semaines)
23,WS97,1997-12-19T00:00:00,4510,FR,45,2013-07-25T08:44:40.767,Session d'hiver 1997,10,1997-12-01T00:00:00,,2,Sessions ordinaires  (durée 3 semaines)
24,FS10,2010-03-19T00:00:00,4813,FR,48,2011-03-18T17:02:07.623,Session de printemps 2010,13,2010-03-01T00:00:00,I/2010,2,Sessions ordinaires  (durée 3 semaines)
25,HE90,1990-10-05T00:00:00,4314,FR,43,2011-03-18T17:02:07.623,Session d'automne 1990,14,1990-09-17T00:00:00,,2,Sessions ordinaires  (durée 3 semaines)
26,HE93,1993-10-08T00:00:00,4411,FR,44,2013-07-25T08:49:27.07,Session d'automne 1993,11,1993-09-20T00:00:00,,2,Sessions ordinaires  (durée 3 semaines)
27,FR95,1995-03-24T00:00:00,4418,FR,44,2013-07-25T09:14:14.933,Session de printemps 1995,18,1995-03-06T00:00:00,,2,Sessions ordinaires  (durée 3 semaines)
28,HS05,2005-10-07T00:00:00,4709,FR,47,2011-03-18T17:02:07.63,Session d'automne 2005,9,2005-09-19T00:00:00,III/2005,2,Sessions ordinaires  (durée 3 semaines)
29,HS03,2003-10-03T00:00:00,4620,FR,46,2011-03-18T17:02:07.63,Session d'automne 2003,20,2003-09-15T00:00:00,III/2003,2,Sessions ordinaires  (durée 3 semaines)
30,HS01,2001-10-05T00:00:00,4609,FR,46,2013-07-25T08:42:01.963,Session d'automne 2001,9,2001-09-17T00:00:00,,2,Sessions ordinaires  (durée 3 semaines)
31,WS01,2001-12-14T00:00:00,4611,FR,46,2013-07-25T08:42:01.967,Session d'hiver 2001,11,2001-11-26T00:00:00,,2,Sessions ordinaires  (durée 3 semaines)
32,SS98,1998-06-26T00:00:00,4514,FR,45,2013-07-25T08:44:40.77,Session d'été 1998,14,1998-06-08T00:00:00,,2,Sessions ordinaires  (durée 3 semaines)
33,FS99,1999-03-19T00:00:00,4517,FR,45,2013-07-25T08:44:40.77,Session de printemps 1999,17,1999-03-01T00:00:00,,2,Sessions ordinaires  (durée 3 semaines)
34,av99,1999-04-23T00:00:00,4518,FR,45,2013-07-25T09:18:43.977,Session spéciale avril 1999,18,1999-04-19T00:00:00,,3,Session spéciale (durée 1 semaine)
35,FR90,1990-03-23T00:00:00,4312,FR,43,2011-03-18T17:02:07.64,Session de printemps 1990,12,1990-03-05T00:00:00,,2,Sessions ordinaires  (durée 3 semaines)
36,SS03,2003-06-20T00:00:00,4619,FR,46,2011-03-18T17:02:07.64,Session d'été 2003,19,2003-06-02T00:00:00,II/2003,2,Sessions ordinaires  (durée 3 semaines)
37,HS06,2006-10-06T00:00:00,4714,FR,47,2011-03-18T17:02:07.643,Session d'automne 2006,14,2006-09-18T00:00:00,III/2006,2,Sessions ordinaires  (durée 3 semaines)
38,FR91,1991-03-22T00:00:00,4317,FR,43,2013-07-25T08:55:36.73,Session de printemps 1991,17,1991-03-04T00:00:00,,2,Sessions ordinaires  (durée 3 semaines)
39,HS04,2004-10-08T00:00:00,4705,FR,47,2011-03-18T17:02:07.65,Session d'automne 2004,5,2004-09-20T00:00:00,III/2004,2,Sessions ordinaires  (durée 3 semaines)
40,Mai06,2006-05-11T00:00:00,4712,FR,47,2011-03-18T17:02:07.65,Session spéciale mai 2006,12,2006-05-08T00:00:00,II/2006,3,Session spéciale (durée 1 semaine)
41,FS00,2000-03-24T00:00:00,4602,FR,46,2013-07-25T08:42:38.817,Session du printemps 2000,2,2000-03-06T00:00:00,,2,Sessions ordinaires  (durée 3 semaines)
