,ID,IdMeeting,Language,Modified,SortOrder,VerbalixOid
0,124,10,FR,2015-11-09T11:48:21.24,1,6552
1,125,10,FR,2015-11-09T11:48:21.25,2,6724
2,126,10,FR,2015-11-09T11:48:21.283,7,7242
3,127,10,FR,2015-11-09T11:48:21.283,3,6763
4,128,10,FR,2015-11-09T11:48:21.287,6,6790
5,129,10,FR,2015-11-09T11:48:21.29,5,6782
6,130,10,FR,2015-11-09T11:48:21.29,4,6766
7,131,11,FR,2015-11-09T11:48:21.773,4,7053
8,132,11,FR,2015-11-09T11:48:21.777,2,6912
9,133,11,FR,2015-11-09T11:48:21.83,3,7049
10,134,11,FR,2015-11-09T11:48:21.833,39,7394
11,135,11,FR,2015-11-09T11:48:21.833,35,7392
12,136,11,FR,2015-11-09T11:48:21.837,36,7393
13,137,11,FR,2015-11-09T11:48:21.84,6,7060
14,138,11,FR,2015-11-09T11:48:21.843,5,7057
15,139,11,FR,2015-11-09T11:48:21.843,28,7383
16,140,11,FR,2015-11-09T11:48:21.847,34,7389
17,141,11,FR,2015-11-09T11:48:21.85,33,7388
18,142,11,FR,2015-11-09T11:48:21.853,38,7391
19,143,11,FR,2015-11-09T11:48:21.853,37,7390
20,144,11,FR,2015-11-09T11:48:21.857,30,7385
21,145,11,FR,2015-11-09T11:48:21.86,29,7384
22,146,11,FR,2015-11-09T11:48:21.863,32,7387
23,147,11,FR,2015-11-09T11:48:21.867,31,7386
24,148,11,FR,2015-11-09T11:48:21.87,21,7347
25,149,11,FR,2015-11-09T11:48:21.87,20,7346
26,150,11,FR,2015-11-09T11:48:21.873,19,7345
27,151,11,FR,2015-11-09T11:48:21.877,24,7351
28,152,11,FR,2015-11-09T11:48:21.877,23,7350
29,153,11,FR,2015-11-09T11:48:21.88,22,7348
30,154,11,FR,2015-11-09T11:48:21.883,27,7354
31,155,11,FR,2015-11-09T11:48:21.887,26,7353
32,156,11,FR,2015-11-09T11:48:21.887,25,7352
33,157,11,FR,2015-11-09T11:48:21.89,18,7331
34,158,11,FR,2015-11-09T11:48:21.893,49,7209
35,159,11,FR,2015-11-09T11:48:21.893,53,7133
36,160,11,FR,2015-11-09T11:48:21.9,40,7332
37,161,11,FR,2015-11-09T11:48:21.9,50,7203
38,162,11,FR,2015-11-09T11:48:21.903,51,7122
39,163,11,FR,2015-11-09T11:48:21.91,48,7200
40,164,11,FR,2015-11-09T11:48:21.91,52,7125
41,165,11,FR,2015-11-09T11:48:21.92,43,7435
42,166,11,FR,2015-11-09T11:48:21.92,42,7434
43,167,11,FR,2015-11-09T11:48:21.923,41,7433
44,168,11,FR,2015-11-09T11:48:21.927,47,7439
45,169,11,FR,2015-11-09T11:48:21.927,46,7438
46,170,11,FR,2015-11-09T11:48:21.93,57,7150
47,171,11,FR,2015-11-09T11:48:21.93,45,7437
48,172,11,FR,2015-11-09T11:48:21.933,44,7436
49,173,11,FR,2015-11-09T11:48:21.937,54,7136
50,174,11,FR,2015-11-09T11:48:21.94,55,7139
51,175,11,FR,2015-11-09T11:48:21.94,56,7142
52,176,11,FR,2015-11-09T11:48:21.943,7,7299
53,177,11,FR,2015-11-09T11:48:21.947,17,7300
54,178,11,FR,2015-11-09T11:48:21.95,8,7301
55,179,11,FR,2015-11-09T11:48:21.95,15,7302
56,180,11,FR,2015-11-09T11:48:21.953,16,7303
57,181,11,FR,2015-11-09T11:48:21.957,1,6893
58,182,11,FR,2015-11-09T11:48:21.957,9,7304
59,183,11,FR,2015-11-09T11:48:21.96,10,7305
60,184,11,FR,2015-11-09T11:48:21.963,11,7306
61,185,11,FR,2015-11-09T11:48:21.963,14,7307
62,186,11,FR,2015-11-09T11:48:21.967,12,7308
63,187,11,FR,2015-11-09T11:48:21.97,13,7309
64,188,12,FR,2015-11-09T11:48:22.097,1,2200
65,189,12,FR,2015-11-09T11:48:22.097,2,2207
66,190,12,FR,2015-11-09T11:48:22.103,3,2196
67,191,13,FR,2015-11-09T11:48:22.273,2,2363
68,192,13,FR,2015-11-09T11:48:22.313,1,2316
69,193,14,FR,2015-11-09T11:48:22.573,6,2716
70,194,14,FR,2015-11-09T11:48:22.583,13,2855
71,195,14,FR,2015-11-09T11:48:22.59,9,2745
72,196,14,FR,2015-11-09T11:48:22.593,14,2863
73,197,14,FR,2015-11-09T11:48:22.6,4,2680
74,198,14,FR,2015-11-09T11:48:22.603,5,2706
75,199,14,FR,2015-11-09T11:48:22.607,11,2804
76,200,14,FR,2015-11-09T11:48:22.61,12,2839
77,201,14,FR,2015-11-09T11:48:22.617,8,2732
78,202,14,FR,2015-11-09T11:48:22.62,1,2560
79,203,14,FR,2015-11-09T11:48:22.63,3,2632
80,204,14,FR,2015-11-09T11:48:22.643,7,2726
81,205,14,FR,2015-11-09T11:48:22.65,10,2755
82,206,14,FR,2015-11-09T11:48:22.68,2,2603
83,207,15,FR,2015-11-09T11:48:22.82,1,2975
84,208,15,FR,2015-11-09T11:48:22.82,3,3031
85,209,15,FR,2015-11-09T11:48:22.827,2,2979
86,210,16,FR,2015-11-09T11:48:23.11,1,3715
87,211,16,FR,2015-11-09T11:48:23.11,4,4029
88,212,16,FR,2015-11-09T11:48:23.117,2,3724
89,213,16,FR,2015-11-09T11:48:23.12,3,3727
90,214,17,FR,2015-11-09T11:48:23.597,3,4929
91,215,17,FR,2015-11-09T11:48:23.6,2,4919
92,216,17,FR,2015-11-09T11:48:23.6,4,4932
93,217,17,FR,2015-11-09T11:48:23.607,1,4132
94,218,18,FR,2015-11-09T11:48:23.957,11,5522
95,219,18,FR,2015-11-09T11:48:23.96,9,5454
96,220,18,FR,2015-11-09T11:48:23.96,3,5421
97,221,18,FR,2015-11-09T11:48:23.963,8,5467
98,222,18,FR,2015-11-09T11:48:23.967,12,5525
99,223,18,FR,2015-11-09T11:48:23.97,1,5331
100,224,18,FR,2015-11-09T11:48:23.983,7,5499
101,225,18,FR,2015-11-09T11:48:23.983,2,5409
102,226,18,FR,2015-11-09T11:48:23.987,10,5494
103,227,18,FR,2015-11-09T11:48:23.99,6,5460
104,228,18,FR,2015-11-09T11:48:23.99,5,5442
105,229,18,FR,2015-11-09T11:48:23.993,4,5475
106,230,19,FR,2015-11-09T11:48:24.19,1,5912
107,231,19,FR,2015-11-09T11:48:24.223,3,6090
108,232,19,FR,2015-11-09T11:48:24.23,2,6143
109,233,20,FR,2015-11-09T11:48:24.443,2,6228
110,234,20,FR,2015-11-09T11:48:24.457,7,6365
111,235,20,FR,2015-11-09T11:48:24.46,8,6397
112,236,20,FR,2015-11-09T11:48:24.463,10,6468
113,237,20,FR,2015-11-09T11:48:24.47,11,6879
114,238,20,FR,2015-11-09T11:48:24.473,12,6499
115,239,20,FR,2015-11-09T11:48:24.473,5,6362
116,240,20,FR,2015-11-09T11:48:24.477,13,6511
117,241,20,FR,2015-11-09T11:48:24.48,6,6388
118,242,20,FR,2015-11-09T11:48:24.483,9,6444
119,243,20,FR,2015-11-09T11:48:24.487,1,6870
120,244,20,FR,2015-11-09T11:48:24.49,14,6516
121,245,20,FR,2015-11-09T11:48:24.493,4,6344
122,246,20,FR,2015-11-09T11:48:24.497,16,6454
123,247,20,FR,2015-11-09T11:48:24.5,3,6255
124,248,20,FR,2015-11-09T11:48:24.51,15,6461
125,249,21,FR,2015-11-09T11:48:24.62,8,6949
126,250,21,FR,2015-11-09T11:48:24.62,1,6905
127,251,21,FR,2015-11-09T11:48:24.623,12,6983
128,252,21,FR,2015-11-09T11:48:24.623,4,6915
129,253,21,FR,2015-11-09T11:48:24.627,3,6909
130,254,21,FR,2015-11-09T11:48:24.627,13,7017
131,255,21,FR,2015-11-09T11:48:24.63,9,6943
132,256,21,FR,2015-11-09T11:48:24.63,11,6975
133,257,21,FR,2015-11-09T11:48:24.633,6,6924
134,258,21,FR,2015-11-09T11:48:24.633,10,6969
135,259,21,FR,2015-11-09T11:48:24.637,7,6939
136,260,21,FR,2015-11-09T11:48:24.637,5,6921
137,261,21,FR,2015-11-09T11:48:24.64,2,6901
138,262,22,FR,2015-11-09T11:48:24.767,2,5130
139,263,22,FR,2015-11-09T11:48:24.77,1,5116
140,264,22,FR,2015-11-09T11:48:24.77,3,5119
141,265,22,FR,2015-11-09T11:48:24.79,4,5188
142,266,22,FR,2015-11-09T11:48:24.8,5,5216
143,267,23,FR,2015-11-09T11:48:24.877,2,6183
144,268,23,FR,2015-11-09T11:48:24.883,3,6210
145,269,23,FR,2015-11-09T11:48:24.887,1,6180
146,270,23,FR,2015-11-09T11:48:24.887,5,6375
147,271,23,FR,2015-11-09T11:48:24.89,4,6371
148,272,24,FR,2015-11-09T11:48:25.193,5,7742
149,273,24,FR,2015-11-09T11:48:25.197,4,7738
150,274,24,FR,2015-11-09T11:48:25.197,10,7806
151,275,24,FR,2015-11-09T11:48:25.203,7,7773
152,276,24,FR,2015-11-09T11:48:25.207,15,7857
153,277,24,FR,2015-11-09T11:48:25.21,2,7630
154,278,24,FR,2015-11-09T11:48:25.297,9,7798
155,279,24,FR,2015-11-09T11:48:25.3,3,7726
156,280,24,FR,2015-11-09T11:48:25.307,6,7752
157,281,24,FR,2015-11-09T11:48:25.31,12,7813
158,282,24,FR,2015-11-09T11:48:25.313,1,7633
159,283,24,FR,2015-11-09T11:48:25.317,11,7810
160,284,24,FR,2015-11-09T11:48:25.32,14,7854
161,285,24,FR,2015-11-09T11:48:25.32,13,7851
162,286,24,FR,2015-11-09T11:48:25.323,8,7782
163,287,25,FR,2015-11-09T11:48:25.743,15,8100
164,288,25,FR,2015-11-09T11:48:25.747,13,8329
165,289,25,FR,2015-11-09T11:48:25.747,12,8328
166,290,25,FR,2015-11-09T11:48:25.75,7,8066
167,291,25,FR,2015-11-09T11:48:25.753,6,8132
168,292,25,FR,2015-11-09T11:48:25.757,4,8003
169,293,25,FR,2015-11-09T11:48:25.77,1,7870
170,294,25,FR,2015-11-09T11:48:25.777,11,8327
171,295,25,FR,2015-11-09T11:48:25.78,10,8326
