,CantonAbbreviation,CantonId,CantonName,CouncilId,CouncilName,DisplaySpeaker,End,Function,ID,IdSession,IdSubject,Language,LanguageOfText,MeetingCouncilAbbreviation,MeetingDate,MeetingVerbalixOid,Modified,ParlGroupAbbreviation,ParlGroupName,PersonNumber,SortOrder,SpeakerFirstName,SpeakerFullName,SpeakerLastName,Start,Text,Type,VoteId
0,,,,,,,,,5274,4603,1000,FR,DE,N,20000623,701,2015-11-09T11:48:41.537,,,,1,,,,,"<pd_text><p><i>Überwiesen als Postulat - Transmis comme postulat</i></p>
</pd_text>",3,
1,,,,,,,,,5275,4603,1001,FR,DE,N,20000623,701,2015-11-09T11:48:41.54,,,,1,,,,,"<pd_text><p><i>Erklärung Urheberin/Urheber: teilweise befriedigt</i></p>
<p><i>Déclaration auteur/auteurs: partiellement satisfait</i></p>
<p>[VS]</p>
<p><i>Diskussion verschoben - Discussion renvoyée</i></p>
</pd_text>",3,
2,,,,,,,,,5276,4603,1002,FR,DE,N,20000623,701,2015-11-09T11:48:41.54,,,,1,,,,,"<pd_text><p><b>Präsident</b> (Seiler Hanspeter, Präsident): Der Vorstoss wird von Frau Vermot und Frau Garbani bekämpft. Die Diskussion wird verschoben.</p>
<p>[VS]</p>
<p><i>Diskussion verschoben - Discussion renvoyée</i></p>
</pd_text>",3,
3,,,,,,,,,5277,4603,1003,FR,DE,N,20000623,701,2015-11-09T11:48:41.543,,,,1,,,,,"<pd_text><p><i>Erklärung Urheberin/Urheber: teilweise befriedigt</i></p>
<p><i>Déclaration auteur/auteurs: partiellement satisfait</i></p>
<p>[VS]</p>
<p><i>Diskussion verschoben - Discussion renvoyée</i></p>
</pd_text>",3,
4,,,,,,,,,5278,4603,1004,FR,DE,N,20000623,701,2015-11-09T11:48:41.547,,,,1,,,,,"<pd_text><p><b>Präsident</b> (Seiler Hanspeter, Präsident): Der Vorstoss wird von Frau Thanei, Frau Teuscher und Frau Fässler bekämpft. Die Diskussion wird verschoben.</p>
<p>[VS]</p>
<p><i>Diskussion verschoben - Discussion renvoyée</i></p>
</pd_text>",3,
5,,,,,,,,,5279,4603,1005,FR,DE,N,20000623,701,2015-11-09T11:48:41.55,,,,1,,,,,"<pd_text><p><i>Überwiesen als Postulat - Transmis comme postulat</i></p>
</pd_text>",3,
6,,,,,,,,,5280,4603,1006,FR,DE,N,20000623,701,2015-11-09T11:48:41.55,,,,1,,,,,"<pd_text><p><b>Präsident</b> (Seiler Hanspeter, Präsident): Die Diskussion wird von Herrn Chiffelle bekämpft.</p>
<p>[VS]</p>
<p><i>Abstimmung - Vote</i></p>
<p>Für den Antrag auf Diskussion .... 112 Stimmen</p>
<p>Dagegen .... 42 Stimmen</p>
<p>[VS]</p>
<p><i>Diskussion verschoben - Discussion renvoyée</i></p>
</pd_text>",3,
7,,,,,,,,,5281,4603,1007,FR,DE,N,20000623,701,2015-11-09T11:48:41.553,,,,1,,,,,"<pd_text><p><i>Erklärung Urheberin/Urheber: teilweise befriedigt</i></p>
<p><i>Déclaration auteur/auteurs: partiellement satisfait</i></p>
<p>[VS]</p>
<p><i>Diskussion verschoben - Discussion renvoyée</i></p>
<p>[PAGE 851] </p>
</pd_text>",3,
8,,,,,,,,,5282,4603,1008,FR,DE,N,20000623,701,2015-11-09T11:48:41.553,,,,1,,,,,"<pd_text><p><i>Erklärung Urheberin/Urheber: nicht befriedigt</i></p>
<p><i>Déclaration auteur/auteurs: non satisfait</i></p>
<p>[VS]</p>
<p><i>Diskussion verschoben - Discussion renvoyée</i></p>
</pd_text>",3,
9,,,,,,,,,5283,4603,1009,FR,DE,N,20000623,701,2015-11-09T11:48:41.557,,,,1,,,,,"<pd_text><p><b>Präsident</b> (Seiler Hanspeter, Präsident): Der Vorstoss wird von den Herren Wasserfallen, Schlüer und Heim bekämpft. Die Diskussion wird verschoben.</p>
<p>[VS]</p>
<p><i>Diskussion verschoben - Discussion renvoyée</i></p>
<p>[PAGE 841] </p>
</pd_text>",3,
