,BillNumber,BillTitle,BusinessAuthor,BusinessNumber,BusinessShortNumber,BusinessTitle,ID,IdLegislativePeriod,IdSession,Language,MeaningNo,MeaningYes,RegistrationNumber,SessionName,Subject,VoteEnd
0,1,Bundesgesetz über die Ausrichtung von Finanzhilfen an die Stiftung Bibliomedia,,20030054,03.054,Stiftung Bibliomedia. Finanzhilfe 2004-2007,1,47,4701,DE,,,17,Wintersession 2003,Gesamtabstimmung,2003-12-01T18:13:57
1,1,Loi fédérale sur l'octroi d'aides financières à la fondation Bibliomedia,,20030054,03.054,Fondation Bibliomedia. Aide financière 2004-2007,1,47,4701,EN,,,17,Session d'hiver 2015,Gesamtabstimmung,2003-12-01T18:13:57
2,1,Loi fédérale sur l'octroi d'aides financières à la fondation Bibliomedia,,20030054,03.054,Fondation Bibliomedia. Aide financière 2004-2007,1,47,4701,FR,,,17,Session d'hiver 2015,Gesamtabstimmung,2003-12-01T18:13:57
3,1,Loi fédérale sur l'octroi d'aides financières à la fondation Bibliomedia,,20030054,03.054,Fondation Bibliomedia. Aide financière 2004-2007,1,47,4701,IT,,,17,Sessione invernale 2015,Gesamtabstimmung,2003-12-01T18:13:57
4,1,Bundesgesetz über die Ausrichtung von Finanzhilfen an die Stiftung Bibliomedia,,20030054,03.054,Stiftung Bibliomedia. Finanzhilfe 2004-2007,1,47,4701,RM,,,17,Wintersession 2003,Gesamtabstimmung,2003-12-01T18:13:57
5,2,Bundesbeschluss betreffend einen Zahlungsrahmen für eine Finanzhilfe an die Stiftung Bibliomedia in den Jahren 2004-2007,,20030054,03.054,Stiftung Bibliomedia. Finanzhilfe 2004-2007,2,47,4701,DE,,,18,Wintersession 2003,Gesamtabstimmung,2003-12-01T18:16:36
6,2,Arrêté fédéral concernant le plafond de dépenses en vue de l'octroi d'une aide financière à la fondation Bibliomedia pour la période 2004 - 2007,,20030054,03.054,Fondation Bibliomedia. Aide financière 2004-2007,2,47,4701,EN,,,18,Session d'hiver 2015,Gesamtabstimmung,2003-12-01T18:16:36
7,2,Arrêté fédéral concernant le plafond de dépenses en vue de l'octroi d'une aide financière à la fondation Bibliomedia pour la période 2004 - 2007,,20030054,03.054,Fondation Bibliomedia. Aide financière 2004-2007,2,47,4701,FR,,,18,Session d'hiver 2015,Gesamtabstimmung,2003-12-01T18:16:36
8,2,Arrêté fédéral concernant le plafond de dépenses en vue de l'octroi d'une aide financière à la fondation Bibliomedia pour la période 2004 - 2007,,20030054,03.054,Fondation Bibliomedia. Aide financière 2004-2007,2,47,4701,IT,,,18,Sessione invernale 2015,Gesamtabstimmung,2003-12-01T18:16:36
9,2,Bundesbeschluss betreffend einen Zahlungsrahmen für eine Finanzhilfe an die Stiftung Bibliomedia in den Jahren 2004-2007,,20030054,03.054,Stiftung Bibliomedia. Finanzhilfe 2004-2007,2,47,4701,RM,,,18,Wintersession 2003,Gesamtabstimmung,2003-12-01T18:16:36
10,1,Bundesgesetz über die Ausrichtung von Finanzhilfen an das Verkehrshaus der Schweiz,,20030055,03.055,Verkehrshaus Schweiz. Finanzhilfe 2004-2007,4,47,4701,DE,,,20,Wintersession 2003,Gesamtabstimmung,2003-12-01T18:35:54
11,1,Loi fédérale sur l'octroi d'aides financières au Musée suisse des transports,,20030055,03.055,Musée suisse des transports. Aide financière 2004-2007,4,47,4701,EN,,,20,Session d'hiver 2015,Vote sur l'ensemble,2003-12-01T18:35:54
12,1,Loi fédérale sur l'octroi d'aides financières au Musée suisse des transports,,20030055,03.055,Musée suisse des transports. Aide financière 2004-2007,4,47,4701,FR,,,20,Session d'hiver 2015,Vote sur l'ensemble,2003-12-01T18:35:54
13,1,Loi fédérale sur l'octroi d'aides financières au Musée suisse des transports,,20030055,03.055,Musée suisse des transports. Aide financière 2004-2007,4,47,4701,IT,,,20,Sessione invernale 2015,Vote sur l'ensemble,2003-12-01T18:35:54
14,1,Bundesgesetz über die Ausrichtung von Finanzhilfen an das Verkehrshaus der Schweiz,,20030055,03.055,Verkehrshaus Schweiz. Finanzhilfe 2004-2007,4,47,4701,RM,,,20,Wintersession 2003,Gesamtabstimmung,2003-12-01T18:35:54
15,2,Bundesbeschluss betreffend einen Zahlungsrahmen für eine Finanzhilfe an das Verkehrshaus der Schweiz in den Jahren 2004-2007,,20030055,03.055,Verkehrshaus Schweiz. Finanzhilfe 2004-2007,5,47,4701,DE,,,21,Wintersession 2003,Gesamtabstimmung,2003-12-01T18:37:29
16,2,Arrêté fédéral concernant le plafond de dépenses en vue de l'octroi d'une aide financière au Musée suisse des transports pour la période 2004 - 2007,,20030055,03.055,Musée suisse des transports. Aide financière 2004-2007,5,47,4701,EN,,,21,Session d'hiver 2015,Vote sur l'ensemble,2003-12-01T18:37:29
17,2,Arrêté fédéral concernant le plafond de dépenses en vue de l'octroi d'une aide financière au Musée suisse des transports pour la période 2004 - 2007,,20030055,03.055,Musée suisse des transports. Aide financière 2004-2007,5,47,4701,FR,,,21,Session d'hiver 2015,Vote sur l'ensemble,2003-12-01T18:37:29
18,2,Arrêté fédéral concernant le plafond de dépenses en vue de l'octroi d'une aide financière au Musée suisse des transports pour la période 2004 - 2007,,20030055,03.055,Musée suisse des transports. Aide financière 2004-2007,5,47,4701,IT,,,21,Sessione invernale 2015,Vote sur l'ensemble,2003-12-01T18:37:29
19,2,Bundesbeschluss betreffend einen Zahlungsrahmen für eine Finanzhilfe an das Verkehrshaus der Schweiz in den Jahren 2004-2007,,20030055,03.055,Verkehrshaus Schweiz. Finanzhilfe 2004-2007,5,47,4701,RM,,,21,Wintersession 2003,Gesamtabstimmung,2003-12-01T18:37:29
20,1,Bundesbeschluss über den Leistungsauftrag des Bundesrates an den ETH-Bereich für die Jahre 2004-2007 (Leistungsauftrag 2004-2007 des ETH-Bereichs),,20030045,03.045,ETH. Leistungsauftrag für die Jahre 2004-2007,6,47,4701,DE,,,22,Wintersession 2003,Gesamtabstimmung,2003-12-01T19:01:07
21,1,Arrêté fédéral relatif au mandat de prestations du Conseil fédéral au domaine des EPF pour les années 2004 à 2007 (Mandat de prestations 2004 à 2007 du domaine des EPF),,20030045,03.045,EPF. Mandat de prestations pour les années 2004-2007,6,47,4701,EN,,,22,Session d'hiver 2015,Vote sur l'ensemble,2003-12-01T19:01:07
22,1,Arrêté fédéral relatif au mandat de prestations du Conseil fédéral au domaine des EPF pour les années 2004 à 2007 (Mandat de prestations 2004 à 2007 du domaine des EPF),,20030045,03.045,EPF. Mandat de prestations pour les années 2004-2007,6,47,4701,FR,,,22,Session d'hiver 2015,Vote sur l'ensemble,2003-12-01T19:01:07
23,1,Arrêté fédéral relatif au mandat de prestations du Conseil fédéral au domaine des EPF pour les années 2004 à 2007 (Mandat de prestations 2004 à 2007 du domaine des EPF),,20030045,03.045,EPF. Mandat de prestations pour les années 2004-2007,6,47,4701,IT,,,22,Sessione invernale 2015,Vote sur l'ensemble,2003-12-01T19:01:07
24,1,Bundesbeschluss über den Leistungsauftrag des Bundesrates an den ETH-Bereich für die Jahre 2004-2007 (Leistungsauftrag 2004-2007 des ETH-Bereichs),,20030045,03.045,ETH. Leistungsauftrag für die Jahre 2004-2007,6,47,4701,RM,,,22,Wintersession 2003,Gesamtabstimmung,2003-12-01T19:01:07
25,,,Fraktion V,20020432,02.432,Wahrung des Bankkundengeheimnisses,8,47,4701,DE,"Antrag der Minderheit (Strahm) und Antrag Vanek
= keine Folge geben
",Antrag der Mehrheit = Folge geben,27,Wintersession 2003,,2003-12-02T08:49:23
26,,,Groupe V,20020432,02.432,Maintien du secret bancaire,8,47,4701,EN,"Antrag der Minderheit (Strahm) und Antrag Vanek
= keine Folge geben
",Antrag der Mehrheit = Folge geben,27,Session d'hiver 2015,,2003-12-02T08:49:23
27,,,Groupe V,20020432,02.432,Maintien du secret bancaire,8,47,4701,FR,"Antrag der Minderheit (Strahm) und Antrag Vanek
= keine Folge geben
",Antrag der Mehrheit = Folge geben,27,Session d'hiver 2015,,2003-12-02T08:49:23
28,,,Gruppo V,20020432,02.432,Garanzia del segreto bancario,8,47,4701,IT,"Antrag der Minderheit (Strahm) und Antrag Vanek
= keine Folge geben
",Antrag der Mehrheit = Folge geben,27,Sessione invernale 2015,,2003-12-02T08:49:23
29,,,Fraktion V,20020432,02.432,Wahrung des Bankkundengeheimnisses,8,47,4701,RM,"Antrag der Minderheit (Strahm) und Antrag Vanek
= keine Folge geben
",Antrag der Mehrheit = Folge geben,27,Wintersession 2003,,2003-12-02T08:49:23
